state_name,drug_name,generic_name,bene_count,prescriber_count,total_claim_count,total_drug_cost
National Total,,,649,558,1430,56455.69
National Total,1ST TIER UNIFINE PENTIPS,NEEDLES INSULIN DISPOSABLE,1633,1343,4413,95304.09
National Total,8-MOP,METHOXSALEN,  ,  ,14,19590.75
National Total,A-HYDROCORT,HYDROCORTISONE SOD SUCCINATE,  ,  ,14,128.48
National Total,A-METHAPRED,METHYLPREDNISOLONE SOD SUCC,59,39,74,1146.57
National Total,ABACAVIR,ABACAVIR SULFATE,8360,5066,59121,26923482.06
National Total,ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,49,49,49,78230.03
National Total,ABELCET,AMPHOTERICIN B LIPID COMPLEX,130,71,435,582002.93
National Total,ABILIFY,ARIPIPRAZOLE,396764,127070,2886837,2107091535
National Total,ABILIFY DISCMELT,ARIPIPRAZOLE,967,1050,5033,5221987.76
National Total,ABILIFY MAINTENA,ARIPIPRAZOLE,3986,2449,14694,21278004.27
National Total,ABRAXANE,PACLITAXEL PROTEIN-BOUND,161,116,557,2915287.29
National Total,ABSORICA,ISOTRETINOIN,40,42,78,76550.36
National Total,ABSTRAL,FENTANYL CITRATE,47,43,136,433417.39
National Total,ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,3528,3256,7020,1207181.32
National Total,ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,574,544,888,290935.56
National Total,ACARBOSE,ACARBOSE,40342,23238,202961,13255434.71
National Total,ACCOLATE,ZAFIRLUKAST,695,768,3011,450913.52
National Total,ACCUNEB,ALBUTEROL SULFATE,23,21,44,2050.6
National Total,ACCUPRIL,QUINAPRIL HCL,1454,1626,7400,1063447.06
National Total,ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,145,168,651,92285.54
National Total,ACCUSURE,SYRING W-NDLDISPINSUL0.5ML,  ,  ,26,443.76
National Total,ACCUSURE,SYRINGE & NEEDLEINSULIN1 ML,  ,  ,16,365.13
National Total,ACEBUTOLOL HCL,ACEBUTOLOL HCL,23942,19779,134256,3888336.7
National Total,ACEON,PERINDOPRIL ERBUMINE,36,38,120,11372.18
National Total,ACETAMINOPH-CAFF-DIHYDROCODEIN,DHCODEINE BT/ACETAMINOPHN/CAFF,607,525,2058,216222.37
National Total,ACETAMINOPHEN-BUTALBITAL,BUTALBITAL/ACETAMINOPHEN,281,287,687,16726.84
National Total,ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,1212371,346259,2716272,32946988.04
National Total,ACETASOL HC,ACETIC ACID/HYDROCORTISONE,1530,1328,1974,360808.84
National Total,ACETAZOLAMIDE,ACETAZOLAMIDE,91387,49572,266844,17588084.76
National Total,ACETAZOLAMIDE SODIUM,ACETAZOLAMIDE SODIUM,  ,  ,11,1526.68
National Total,ACETIC ACID,ACETIC ACID,26476,15551,53177,1251715.51
National Total,ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,3868,2125,5283,319470.77
National Total,ACETYLCYSTEINE,ACETYLCYSTEINE,5924,4572,12363,1530784.3
National Total,ACIPHEX,RABEPRAZOLE SODIUM,68258,49364,284540,153570204.2
National Total,ACITRETIN,ACITRETIN,4210,3131,10344,10261958.99
National Total,ACLOVATE,ALCLOMETASONE DIPROPIONATE,13,11,14,2335.65
National Total,ACTEMRA,TOCILIZUMAB,649,391,4052,6774144.99
National Total,ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,333,311,375,14555.67
National Total,ACTIGALL,URSODIOL,169,189,833,653386.51
National Total,ACTIMMUNE,INTERFERON GAMMA-1BRECOMB.,63,67,470,14061309
National Total,ACTIQ,FENTANYL CITRATE,68,89,547,6082509.15
National Total,ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,1056,1071,4724,830173.68
National Total,ACTONEL,RISEDRONATE SODIUM,168023,89525,809719,174460887.5
National Total,ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,5010,4434,18098,7160852.2
National Total,ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,1478,1411,5606,2982026.5
National Total,ACTOS,PIOGLITAZONE HCL,34688,25021,97625,36848869.05
National Total,ACULAR,KETOROLAC TROMETHAMINE,506,391,995,188135.47
National Total,ACULAR LS,KETOROLAC TROMETHAMINE,772,549,1375,247413.88
National Total,ACUVAIL,KETOROLAC TROMETHAMINE/PF,3337,1040,5291,1204871.13
National Total,ACYCLOVIR,ACYCLOVIR,564855,239908,1376080,55344740.36
National Total,ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,171,173,364,82624.59
National Total,ACZONE,DAPSONE,2705,2147,4799,1605481.41
National Total,ADACEL TDAP,DIPHPERTUSS(ACELL)TET VAC/PF,144427,33312,146032,8217753.66
National Total,ADALAT CC,NIFEDIPINE,646,715,3180,331108.68
National Total,ADAPALENE,ADAPALENE,4424,3776,8246,1394441.89
National Total,ADCIRCA,TADALAFIL,8773,3653,62507,111240216.9
National Total,ADDERALL,DEXTROAMPHETAMINE/AMPHETAMINE,1303,1491,5060,1639424.52
National Total,ADDERALL XR,DEXTROAMPHETAMINE/AMPHETAMINE,6025,6375,25777,9257638.44
National Total,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,454,453,984,1075107.8
National Total,ADEMPAS,RIOCIGUAT,144,101,207,1505605.73
National Total,ADIPEX-P,PHENTERMINE HCL,27,27,66,5644.18
National Total,ADOXA,DOXYCYCLINE MONOHYDRATE,11,12,24,24296.88
National Total,ADRENALIN CHLORIDE,EPINEPHRINE,150,138,157,737.16
National Total,ADRIAMYCIN,DOXORUBICIN HCL,17,14,35,5504.67
National Total,ADRUCIL,FLUOROURACIL,101,87,318,15861.45
National Total,ADVAIR DISKUS,FLUTICASONE/SALMETEROL,1527217,288140,6605423,2262995221
National Total,ADVAIR HFA,FLUTICASONE/SALMETEROL,100671,57099,349136,122441763.3
National Total,ADVANCED AM/PM,OM-3/CA CARB/D3/FA/MV CMB 13,14,  ,35,3343.33
National Total,ADVICOR,NIACIN/LOVASTATIN,5960,5826,27546,9760806.44
National Total,ADVOCATE PEN NEEDLES,NEEDLES INSULIN DISPOSABLE,4267,4017,5921,377265.73
National Total,ADVOCATE SYRINGES,SYRING W-NDLDISPINSUL0.3ML,1283,1264,1957,128340.81
National Total,ADVOCATE SYRINGES,SYRING W-NDLDISPINSUL0.5ML,1287,1286,2156,138188.7
National Total,ADVOCATE SYRINGES,SYRINGE & NEEDLEINSULIN1 ML,1653,1623,2740,187539.16
National Total,AFEDITAB CR,NIFEDIPINE,17028,13580,67831,2420909.97
National Total,AFINITOR,EVEROLIMUS,7568,4816,32123,274841481.5
National Total,AFINITOR DISPERZ,EVEROLIMUS,  ,  ,20,245641.66
National Total,AGGRENOX,ASPIRIN/DIPYRIDAMOLE,159850,101723,1005862,321026929.6
National Total,AGRYLIN,ANAGRELIDE HCL,60,72,287,236612.23
National Total,AIMSCO MINI ULTRA-THIN II,NEEDLES INSULIN DISPOSABLE,175,170,246,7667.99
National Total,AIMSCO ULTRA THIN II,NEEDLES INSULIN DISPOSABLE,167,145,450,14345.2
National Total,AK-POLY-BAC,BACITRACIN/POLYMYXIN B SULFATE,6428,3996,10082,217170.51
National Total,AKNE-MYCIN,ERYTHROMYCIN BASE,648,599,782,122594.57
National Total,AKTEN,LIDOCAINE HCL/PF,38,26,43,1644.16
National Total,ALA-SCALP,HYDROCORTISONE,58,47,78,11345.13
National Total,ALAHIST DHC,PHENYLEPHRINE HCL/DIHYDROCO BT,30,21,38,980.64
National Total,ALBENZA,ALBENDAZOLE,5619,5188,7193,4333797.32
National Total,ALBUMIN (HUMAN),ALBUMIN HUMAN,  ,  ,14,3416.06
National Total,ALBUMINAR-25,ALBUMIN HUMAN,11,  ,41,24443.92
National Total,ALBUTEIN,ALBUMIN HUMAN,15,14,45,18300.42
National Total,ALBUTEROL SULFATE,ALBUTEROL SULFATE,275604,71447,873667,30783079.98
National Total,ALCAINE,PROPARACAINE HCL,  ,  ,19,737.08
